shipment_id,seller_mid,warehouse_id,program_type,sku_id,site_type,process_path,defect_root_cause,error_type,item_mismatch,asin_count,boxes_processed,initial_units,final_received,overaged_units,unfilled_units,unreceived_units,unit_cost,initial_value,final_value,value_distortion,unreceived_value,correction_minutes_est,labor_cost_est_at_$30hr,hazard_flag,compliance_hold
FBAXAJI0Y6DP,MBHSAHXTHV3A3Z,FC-A,HDSC_LITE,SKU-0088,Standard,Manual,GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,0,1,0,1,0,1,33.63,33.63,0.0,33.63,33.63,5.65,2.83,1,1
FBAV30T9NT3W,M5UZBIKCIDKWNN,FC-C,HDSC_LITE,SKU-0054,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,1,0,15,14,1,0,1,22.49,337.35,314.86,22.49,22.49,3.13,1.56,0,1
FBA9XUY41IBL,MJH75LXO6QJIUJ,FC-A,HDSC,SKU-0150,Standard,Manual,MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,1,467,6538,5940,598,204,598,14.58,95324.04,86605.2,8718.84,8718.84,15.71,7.86,0,0
FBA4FFYVNVQJ,MT7YE511MKFAZZ,FC-A,HDSC_LITE,SKU-0249,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,8,423,7191,6410,781,91,781,19.25,138426.75,123392.5,15034.25,15034.25,2.86,1.43,0,0
FBAHNF877VRE,MN93IIUC039TEX,FC-A,HDSC,SKU-0243,Standard,Manual,SSCC-Item-Mismatch,SSCC Wrong Item,1,1,12,216,210,6,4,6,19.89,4296.24,4176.9,119.34,119.34,9.76,4.88,0,0
FBAYZOYN6QIC,MATVAZCCBLSKRT,FC-A,HDSC,SKU-0186,Standard,Automated (SSCC),Wrong-Product-Submitted,SSCC Wrong Item + Qty,1,1,3,57,52,5,3,5,10.78,614.46,560.56,53.9,53.9,7.73,3.86,0,1
FBAMO5BXXC02,MDGTFGQ5C34DXT,FC-A,HDSC,SKU-0004,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,24,120,107,13,3,2,16.01,1921.2,1713.07,208.13,32.02,7.85,3.92,0,0
FBAAO72KZ02X,MRGHC0CLBR7TCS,FC-B,HDSC_LITE,SKU-0218,High-compliance,Automated (SSCC),Manufacturer-Barcode-Missing,Missing Barcode,0,1,0,2520,2484,36,17,15,15.92,40118.4,39545.28,573.12,238.8,14.86,7.43,0,0
FBACXULJYLJE,MXQ77AWUDTSEMC,FC-A,HDSC_LITE,SKU-0063,Standard,Manual,Physical-Virtual-Mismatch,SSCC Wrong Item + Qty,1,37,0,7285,6993,292,80,292,17.02,123990.7,119020.86,4969.84,4969.84,23.87,11.94,0,0
FBATYT7D5J60,MFKHMY4SJ6BW3B,FC-A,HDSC_LITE,SKU-0086,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,1,1,24,22,2,0,2,26.72,641.28,587.84,53.44,53.44,8.92,4.46,0,1
FBA56T4UFEL6,M246HID25OWF75,FC-B,HDSC_LITE,SKU-0250,High-compliance,Manual,Unscannable-Barcode,Unscannable Barcode,0,1,0,150,136,14,0,2,26.57,3985.5,3613.52,371.98,53.14,5.58,2.79,0,0
FBA3J2D54I3Q,MK2IAGL58KXO9T,FC-B,HDSC_LITE,SKU-0241,High-compliance,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,0,150,146,4,4,1,21.58,3237.0,3150.68,86.32,21.58,15.5,7.75,1,0
FBA2P9E6GBPS,M3Y70HP87WXE6S,FC-A,HDSC_LITE,SKU-0171,Standard,Automated (SSCC),Physical-Virtual-Mismatch,SSCC Wrong Item + Qty,1,63,0,10690,10021,669,412,669,25.31,270563.9,253631.51,16932.39,16932.39,35.44,17.72,0,0
FBA0GUO4KH2V,MLPYS280XKXWD8,FC-A,HDSC_LITE,SKU-0061,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,1,0,1,0,1,0,1,28.81,28.81,0.0,28.81,28.81,2.77,1.39,1,0
FBAGZRIXA11D,MPG8SBI4Q2Y9V8,FC-A,HDSC,SKU-0229,Standard,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,294,10319,9285,1034,436,1034,29.58,305236.02,274650.3,30585.72,30585.72,8.87,4.43,0,0
FBA1RIPZIM6C,MFNFHOLQC3O18A,FC-B,HDSC_LITE,SKU-0226,High-compliance,Manual,Correct,Correct,0,1,392,7448,7448,0,0,0,27.11,201915.28,201915.28,0.0,0.0,0.21,0.1,0,0
FBAVHHPBMYOF,MQEWAOUAXEQBNH,FC-C,HDSC,SKU-0084,Standard,Automated (SSCC),GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,409,8948,8171,777,284,777,27.06,242132.88,221107.26,21025.62,21025.62,13.19,6.59,0,1
FBAX2X18HAFE,MYUHZ1GV0E38DA,FC-E,HDSC_LITE,SKU-0080,Standard,Automated (SSCC),Correct,Correct,0,1,114,5734,5734,1.4,0,0,5.43,31135.62,31135.62,0.0,0.0,0.21,0.1,0,0
FBAE92MPNSM4,M3D8W3ZP08J3TR,FC-A,HDSC_LITE,SKU-0112,Standard,Manual,Correct,Correct,0,1,412,9888,9888,0,0,0,11.93,117963.84,117963.84,0.0,0.0,0.21,0.1,0,0
FBARLRMJKV5U,MSGIOTIRZQAKOI,FC-F,HDSC,SKU-0170,Standard,Automated (SSCC),Manufacturer-Barcode-Missing,Missing Barcode,0,1,14,5512,5134,378,242,283,19.99,110184.88,102628.66,7556.22,5657.17,7.0,3.5,0,0
FBAET1GHR09S,MKDGIGATJ9TZE5,FC-B,HDSC_LITE,SKU-0126,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,16,161,3156,3149,7,146,7,12.1,38187.6,38102.9,84.7,84.7,13.39,6.7,0,0
FBACWBFUK9E1,MV2ISQP49KWV08,FC-D,HDSC_LITE,SKU-0054,High-compliance,Automated (SSCC),Correct,Correct,0,1,251,6566,6566,0,0,0,20.66,135653.56,135653.56,0.0,0.0,0.21,0.1,0,0
FBAK4CIJ2V2H,MEIFJFC2V37PQK,FC-F,HDSC,SKU-0104,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,30,361,4721,4208,513,276,513,18.8,88754.8,79110.4,9644.4,9644.4,4.17,2.08,1,0
FBAB1QX6GVWR,MDMLY4LYK83TQL,FC-B,HDSC_LITE,SKU-0083,High-compliance,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,3,295,4416,4002,414,263,414,29.4,129830.4,117658.8,12171.6,12171.6,0.59,0.29,0,0
FBAPBJEK5RBW,M2ZLAOI4E8XF7K,FC-E,HDSC_LITE,SKU-0181,Standard,Manual,Unscannable-Barcode,Unscannable Barcode,0,1,320,8168,7742,426,427,247,34.37,280734.16,266092.54,14641.62,8489.39,4.24,2.12,0,0
FBA2O7S3KKV9,MRFTMTTQLGZUI1,FC-E,HDSC_LITE,SKU-0012,Standard,Automated (SSCC),Correct,Correct,0,1,395,4527,4527,1.5,0,0,18.85,85333.95,85333.95,0.0,0.0,0.21,0.1,1,0
FBASQ0OXFQ8M,MYX444NLZ15BCW,FC-F,HDSC_LITE,SKU-0236,Standard,Automated (SSCC),Correct,Correct,0,1,51,7214,7214,0,0,0,27.33,197158.62,197158.62,0.0,0.0,0.21,0.1,0,0
FBA2KNFTU2GC,M5WI6FQJJA26YF,FC-A,HDSC_LITE,SKU-0114,Standard,Automated (SSCC),Correct,Correct,0,1,166,1992,1992,0,1.3,0,25.09,49979.28,49979.28,0.0,0.0,0.21,0.1,0,0
FBAU9K9XJUY0,MBVR6K2VMWWYZX,FC-C,HDSC,SKU-0215,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,49,183,9371,9172,199,40,199,12.89,120792.19,118227.08,2565.11,2565.11,23.78,11.89,0,0
FBAET8T63J3R,M30ME8F840982N,FC-B,HDSC_LITE,SKU-0203,High-compliance,Automated (SSCC),GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,102,2878,2870,8,67,8,20.17,58049.26,57887.9,161.36,161.36,7.45,3.73,0,0
FBAW7LVXWQZX,MEBB9EITNN8ZTV,FC-B,HDSC_LITE,SKU-0187,High-compliance,Automated (SSCC),Manufacturer-Barcode-Missing,Missing Barcode,0,1,12,7725,6818,907,212,670,6.17,47663.25,42067.06,5596.19,4133.9,7.98,3.99,0,0
FBAN9N6XCJ88,M3DHX8BM92H3TV,FC-B,HDSC_LITE,SKU-0209,High-compliance,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,437,3869,3700,169,198,169,7.72,29868.68,28564.0,1304.68,1304.68,14.24,7.12,1,0
FBA5EM2VAJEP,MECQNVQHW06XKX,FC-A,HDSC,SKU-0008,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,23,338,1802,1679,123,108,123,15.85,28561.7,26612.15,1949.55,1949.55,22.46,11.23,0,0
FBAJWTL9TQVD,MZ4X1ZHQIMQODP,FC-A,HDSC_LITE,SKU-0171,Standard,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,64,1077,981,96,19,87,32.54,35045.58,31921.74,3123.84,2830.98,1.55,0.78,0,1
FBAULEMX15Z8,MVMUHXID4N1U34,FC-B,HDSC_LITE,SKU-0250,High-compliance,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,489,9780,8639,1141,26,547,3.93,38435.4,33951.27,4484.13,2149.71,4.69,2.35,0,0
FBAFWB0HPMNZ,M1UDBFWYJXRPJ1,FC-A,HDSC_LITE,SKU-0030,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,35,6567,6126,441,56,145,24.7,162204.9,151312.2,10892.7,3581.5,9.56,4.78,0,0
FBAEJLA0GNZS,M43C5BA75UUZPE,FC-F,HDSC_LITE,SKU-0006,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,39,392,4312,4136,176,235,176,29.62,127721.44,122508.32,5213.12,5213.12,40.82,20.41,1,0
FBALMLGSES6M,M033IFHV1XG1R1,FC-F,HDSC,SKU-0195,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,445,8455,7995,460,348,451,21.06,178062.3,168374.7,9687.6,9498.06,10.2,5.1,0,0
FBA2VMCQBNKX,M9DVNU80B6UGVS,FC-A,HDSC,SKU-0246,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,57,155,10345,9422,923,105,923,28.95,299487.75,272766.9,26720.85,26720.85,48.67,24.34,0,1
FBASFNKOMV2X,MCDYK0X65MUFM8,FC-A,HDSC_LITE,SKU-0179,Standard,Manual,GTIN-Multi-ASIN-Link,SSCC Wrong Item,1,1,268,7200,6798,402,66,402,22.04,158688.0,149827.92,8860.08,8860.08,14.81,7.41,0,0
FBAAL8M1G9FK,M2ST0SX5WVFGYW,FC-A,HDSC,SKU-0232,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,55,185,8332,7593,739,224,739,4.4,36660.8,33409.2,3251.6,3251.6,21.68,10.84,0,0
FBA3Q4N89QKN,MS832EJX5TD44K,FC-D,HDSC_LITE,SKU-0196,High-compliance,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,494,5071,4791,280,230,262,7.72,39148.12,36986.52,2161.6,2022.64,7.19,3.6,0,1
FBANNCILDZMF,MB7R31QW6AHF7V,FC-B,HDSC_LITE,SKU-0109,High-compliance,Automated (SSCC),SSCC-Item-Mismatch,SSCC Wrong Item,1,1,257,6496,6200,296,121,296,12.64,82109.44,78368.0,3741.44,3741.44,1.25,0.62,0,0
FBASIFPWIOXD,M9CSS9TOQW9JA2,FC-A,HDSC,SKU-0089,Standard,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,323,2584,2530,54,148,47,27.21,70310.64,68841.3,1469.34,1278.87,2.56,1.28,0,0
FBAZ7BH25LLO,M3RBXK5BXJ2POP,FC-D,HDSC,SKU-0245,High-compliance,Automated (SSCC),Unscannable-Barcode,Unscannable Barcode,0,1,32,2210,2036,174,47,127,25.15,55581.5,51205.4,4376.1,3194.05,6.12,3.06,0,0
FBAKDLKQZFPQ,M06WPX2CYOS0FB,FC-C,HDSC_LITE,SKU-0218,Standard,Manual,SSCC-Item-Mismatch,SSCC Wrong Item,1,1,279,5580,5131,449,17,449,7.04,39283.2,36122.24,3160.96,3160.96,4.12,2.06,0,0
FBAPCENLK8AG,MS6E1ZHWY9HECG,FC-A,HDSC,SKU-0183,Standard,Automated (SSCC),MP-Scannable-Barcode-on-Outer,SSCC Wrong Item,1,58,190,6078,5988,90,349,90,33.96,206408.88,203352.48,3056.4,3056.4,57.74,28.87,0,0
FBA2SEHE2ATN,M2TWDL9ZS13C9X,FC-B,HDSC_LITE,SKU-0116,High-compliance,Automated (SSCC),Correct,Correct,0,1,89,10449,10449,0,0,0,27.57,288078.93,288078.93,0.0,0.0,0.21,0.1,0,0
FBAF7I8SKCH8,MJWWDXVUGW6M7B,FC-A,HDSC_LITE,SKU-0222,Standard,Automated (SSCC),SSCC-Wrong-Qty,SSCC Wrong Qty,0,1,84,4983,4899,84,23,82,27.67,137879.61,135555.33,2324.28,2268.94,4.55,2.27,0,0
FBAXKI3OQYFO,MQMF5L9MO1SDIE,FC-A,HDSC,SKU-0116,Standard,Manual,Correct,Correct,0,1,148,8939,8939,0,0.6,0,30.65,273980.35,273980.35,0.0,0.0,0.21,0.1,0,0
FBA1RSRLA8S8,MHMBR5XQT4P501,FC-A,HDSC_LITE,SKU-0094,Standard,Manual,Correct,Correct,0,1,97,5124,5124,0,0,0,5.35,27413.4,27413.4,0.0,0.0,0.21,0.1,0,0
FBA9O2M71HSS,MBELRQVSLWF90K,FC-B,HDSC,SKU-0087,High-compliance,Automated (SSCC),Manufacturer-Barcode-Missing,Missing Barcode,0,1,65,1947,1734,213,65,136,18.68,36369.96,32391.12,3978.84,2540.48,9.1,4.55,0,1
