shipment_id,sku_id,site_type,process_path,error_type,item_mismatch,final_received,overaged_units,unfilled_units,initial_units,unreceived_units,unit_cost,initial_value,final_value,value_distortion,unreceived_value,correction_minutes_est,labor_cost_est_at_$30hr,hazard_flag,compliance_hold
SHIP-C2WQP5CY,SKU-0158,Standard,Automated (SSCC),SSCC Wrong Item,1,647,14.0,4.0,661,25,6.7,4428.7,4334.9,93.8,167.5,3.57,1.78,0,0
SHIP-GDS9Z2Y3,SKU-0012,Standard,Automated (SSCC),Correct,0,772,0.0,1.0,772,0,9.06,6994.32,6994.32,0.0,0.0,0.2,0.1,0,0
SHIP-SE4QSMF7,SKU-0072,Standard,Automated (SSCC),SSCC Wrong Qty,0,240,26.0,19.0,266,26,13.43,3572.38,3223.2,349.18,349.18,0.95,0.47,0,0
SHIP-3WN4TQQH,SKU-0083,High-compliance,Automated (SSCC),Correct,0,775,0.0,1.0,775,0,9.88,7657.0,7657.0,0.0,0.0,0.61,0.3,0,0
SHIP-CT6C54JW,SKU-0143,Standard,Automated (SSCC),Correct,0,655,0.0,0.0,655,0,6.5,4257.5,4257.5,0.0,0.0,0.41,0.2,0,0
SHIP-F2YMC9Q6,SKU-0024,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,64,21.0,17.0,85,21,16.66,1416.1,1066.24,349.86,349.86,1.61,0.8,0,0
SHIP-X22GMQRB,SKU-0078,High-compliance,Automated (SSCC),Correct,0,368,0.0,0.0,368,0,19.88,7315.84,7315.84,0.0,0.0,0.36,0.18,0,0
SHIP-TEZX7ZM8,SKU-0028,High-compliance,Automated (SSCC),Correct,0,962,0.0,0.0,962,0,11.56,11120.72,11120.72,0.0,0.0,0.3,0.15,0,0
SHIP-PL6MCR3G,SKU-0141,Standard,Automated (SSCC),SSCC Wrong Qty,0,664,26.0,17.0,690,26,14.69,10136.1,9754.16,381.94,381.94,1.99,0.99,0,0
SHIP-QEXRLHUX,SKU-0114,Standard,Automated (SSCC),SSCC Wrong Qty,0,1788,23.0,12.0,1811,23,16.79,30406.69,30020.52,386.17,386.17,1.19,0.6,0,0
SHIP-8PF4WYDK,SKU-0089,Standard,Automated (SSCC),SSCC Wrong Item,1,861,13.0,19.0,874,46,15.88,13879.12,13672.68,206.44,730.48,7.6,3.8,1,1
SHIP-24P34N6K,SKU-0071,High-compliance,Automated (SSCC),Correct,0,1725,0.0,0.0,1725,0,12.27,21165.75,21165.75,0.0,0.0,0.56,0.28,0,0
SHIP-HXWE4G3A,SKU-0028,Standard,Automated (SSCC),Correct,0,1189,2.0,0.0,1191,2,12.17,14494.47,14470.13,24.34,24.34,0.34,0.17,0,0
SHIP-332XRYJ2,SKU-0166,Standard,Manual,SSCC Wrong Item + Qty,1,72,49.0,45.0,121,88,11.7,1415.7,842.4,573.3,1029.6,11.35,5.68,0,0
SHIP-TQSUBEHD,SKU-0116,Standard,Automated (SSCC),Correct,0,366,0.0,0.0,366,0,5.21,1906.86,1906.86,0.0,0.0,0.4,0.2,0,0
SHIP-QXWR5UC2,SKU-0058,Standard,Automated (SSCC),Correct,0,1270,0.0,0.0,1270,0,12.81,16268.7,16268.7,0.0,0.0,0.4,0.2,0,0
SHIP-UWUTCT3K,SKU-0075,Standard,Automated (SSCC),Correct,0,981,0.0,1.0,981,0,4.58,4492.98,4492.98,0.0,0.0,0.47,0.24,0,0
SHIP-VAMP9GJP,SKU-0130,Standard,Automated (SSCC),Correct,0,543,0.0,0.0,543,0,6.07,3296.01,3296.01,0.0,0.0,0.71,0.36,0,0
SHIP-95BH4B5K,SKU-0129,Standard,Automated (SSCC),SSCC Wrong Item,1,939,9.0,10.0,948,39,17.32,16419.36,16263.48,155.88,675.48,6.0,3.0,0,0
SHIP-7KPXETS3,SKU-0083,Standard,Manual,SSCC Wrong Qty,0,1625,22.0,17.0,1647,22,13.74,22629.78,22327.5,302.28,302.28,0.88,0.44,0,0
SHIP-9XPPP4LF,SKU-0055,High-compliance,Automated (SSCC),SSCC Wrong Qty,0,699,42.0,11.0,741,42,18.99,14071.59,13274.01,797.58,797.58,2.31,1.16,0,0
SHIP-LADC2ZYQ,SKU-0119,High-compliance,Automated (SSCC),Correct,0,81,0.0,0.0,81,0,7.88,638.28,638.28,0.0,0.0,0.41,0.2,0,0
SHIP-YF6S8ERY,SKU-0118,High-compliance,Automated (SSCC),Correct,0,559,0.0,0.0,559,0,5.07,2834.13,2834.13,0.0,0.0,0.41,0.2,0,0
SHIP-RQFNHKXW,SKU-0108,Standard,Automated (SSCC),Correct,0,1684,0.0,0.0,1684,0,8.0,13472.0,13472.0,0.0,0.0,0.44,0.22,1,0
SHIP-VM8CLDL8,SKU-0014,Standard,Automated (SSCC),Correct,0,1371,0.0,0.0,1371,0,9.5,13024.5,13024.5,0.0,0.0,0.4,0.2,0,0
SHIP-M7RYQJ29,SKU-0085,Standard,Automated (SSCC),Correct,0,1507,0.0,0.0,1507,0,9.39,14150.73,14150.73,0.0,0.0,0.39,0.2,0,0
SHIP-J2JY3QZJ,SKU-0110,Standard,Automated (SSCC),Correct,0,1640,0.0,0.0,1640,0,15.91,26092.4,26092.4,0.0,0.0,0.49,0.24,1,0
SHIP-CDQ6EQYG,SKU-0171,High-compliance,Manual,Correct,0,211,0.0,0.0,211,0,7.53,1588.83,1588.83,0.0,0.0,0.32,0.16,0,0
SHIP-ZK3UTFQ5,SKU-0095,Standard,Automated (SSCC),SSCC Wrong Qty,0,508,18.0,24.0,526,18,10.76,5659.76,5466.08,193.68,193.68,1.73,0.86,0,0
SHIP-A2RZXPKW,SKU-0062,High-compliance,Manual,SSCC Wrong Qty,0,107,32.0,21.0,139,32,5.51,765.89,589.57,176.32,176.32,2.63,1.32,0,0
